startup_name;date_incorporated
SYPOX GmbH;2021-12-22
Visiolumen Technologie GmbH;2021-12-22
Vitavegan GmbH;2021-12-22
WD Visuals GmbH;2021-12-22
Workspacify UG (haftungsbeschränkt);2021-12-22
AlphaMatch GmbH;2021-12-21
Auf Augenhöhe UG (haftungsbeschränkt);2021-12-21
dmg movement GmbH;2021-12-21
elevate Solutions GmbH;2021-12-21
Future Frames UG (haftungsbeschränkt);2021-12-21
Printoptix GmbH;2021-12-21
Prismamed GmbH;2021-12-21
Applimeda GmbH;2021-12-20
bitsurance UG (haftungsbeschränkt);2021-12-20
Driverslog Pro GmbH;2021-12-20
Orbiture UG (haftungsbeschränkt);2021-12-20
polycirQ GmbH;2021-12-20
PolyPirates UG (haftungsbeschränkt);2021-12-20
Ragnar UG (haftungsbeschränkt);2021-12-20
shared mobility services GmbH;2021-12-20
Smart & Cheeky GmbH;2021-12-20
Soulbreak GmbH;2021-12-20
sovity GmbH;2021-12-20
TALENT SAXONY GmbH;2021-12-20
VenueScout GmbH;2021-12-20
Heal11 GmbH;2021-12-18
IMMOFOX GmbH;2021-12-18
JPEG Import/Export GmbH;2021-12-18
CapiWise UG (haftungsbeschränkt);2021-12-17
ecoro GmbH;2021-12-17
HappieHaus Wellbeing GmbH;2021-12-17
Kcrypt Lab UG (haftungsbeschränkt);2021-12-17
Lidyne UG (haftungsbeschränkt);2021-12-17
m2ing GmbH;2021-12-17
MAxK GmbH;2021-12-17
McHeadhunter UG (haftungsbeschränkt);2021-12-17
Meoton GmbH;2021-12-17
Oogtech AI UG (haftungsbeschränkt);2021-12-17
PRCS App UG (haftungsbeschränkt);2021-12-17
RockFeel GmbH;2021-12-17
RotHuf UG (haftungsbeschränkt);2021-12-17
SafeHome GmbH;2021-12-17
SNACKED! UG (haftungsbeschränkt);2021-12-17
Terra CT GmbH;2021-12-17
THEO App GmbH;2021-12-17
Wide Thinker UG (haftungsbeschränkt);2021-12-17
Clevercreek UG (haftungsbeschränkt);2021-12-16
Crewting GmbH;2021-12-16
Green IN Beauty UG (haftungsbeschränkt);2021-12-16
haperepa UG (haftungsbeschränkt);2021-12-16
Lifelight Entertainment GmbH;2021-12-16
Luc & Dan´s Food Lab GmbH;2021-12-16
Mango Netsolutions GmbH;2021-12-16
memodio GmbH;2021-12-16
merlim GmbH;2021-12-16
Mostly Games UG (haftungsbeschränkt);2021-12-16
Pharma-Care Deutschland PCD UG (haftungsbeschränkt);2021-12-16
Praxion GmbH;2021-12-16
Synctive UG (haftungsbeschränkt);2021-12-16
COGO Hub GmbH;2021-12-15
Directra GmbH;2021-12-15
foodroots GmbH;2021-12-15
GJIN GmbH;2021-12-15
HBOX Therapies GmbH;2021-12-15
Hexflow GmbH;2021-12-15
MakeStoryboard UG (haftungsbeschränkt);2021-12-15
MoneyWalk UG (haftungsbeschränkt);2021-12-15
OpenQ UG (haftungsbeschränkt);2021-12-15
Proton Camera Innovations GmbH;2021-12-15
real-cis GmbH;2021-12-15
retailmediatools GmbH;2021-12-15
SafeGate GmbH;2021-12-15
SAIZ GmbH;2021-12-15
SmartPetPro GmbH;2021-12-15
Together Living UG (haftungsbeschränkt);2021-12-15
WhalesDontFly H&F GmbH;2021-12-15
Yaloya GmbH;2021-12-15
YOLLA Food & Tech GmbH;2021-12-15
ZenOps Technologies UG (haftungsbeschränkt);2021-12-15
AddInno GmbH;2021-12-14
airrange software GmbH;2021-12-14
Aviasonic GmbH;2021-12-14
BestCarAuction UG (haftungsbeschränkt);2021-12-14
Prosmartec GmbH;2021-12-14
SchLuck GmbH;2021-12-14
use2go Digital GmbH;2021-12-14
Vivity Home GmbH;2021-12-14
Happy Business GmbH;2021-12-13
Hydroplace GmbH;2021-12-13
Inquis Intelligence UG (haftungsbeschränkt);2021-12-13
Luminissimo Design GmbH;2021-12-13
MEVAtec GmbH;2021-12-13
Rent and Play UG (haftungsbeschränkt);2021-12-13
S.K. Ink UG (haftungsbeschränkt);2021-12-13
The Future Living INT GmbH;2021-12-13
BioMedicalTechnology GmbH;2021-12-11
CERTAIN GmbH;2021-12-11
eyes.games UG (haftungsbeschränkt);2021-12-11
Allwebuy Digital GmbH;2021-12-10
Daato Technologies UG (haftungsbeschränkt);2021-12-10
Frootec UG (haftungsbeschränkt);2021-12-10
GreenDentin GmbH;2021-12-10
signature technologies UG (haftungsbeschränkt);2021-12-10
Unping GmbH;2021-12-10
Wynn Petfood GmbH;2021-12-10
Yangol GmbH;2021-12-10
Charlie Production GmbH;2021-12-09
DeFining Capital GmbH;2021-12-09
Dream Squircle GmbH;2021-12-09
Finanz-Werkzeuge GmbH;2021-12-09
Kay Organics GmbH;2021-12-09
Kunst21 GmbH;2021-12-09
MatchU UG (haftungsbeschränkt);2021-12-09
NEXTBASIN UG (haftungsbeschränkt);2021-12-09
schnaq GmbH;2021-12-09
Snacklust GmbH;2021-12-09
Tandedoc GmbH;2021-12-09
Tierwohl-KI UG (haftungsbeschränkt);2021-12-09
Triviar Education GmbH;2021-12-09
wrelax GmbH;2021-12-09
Xpect AG;2021-12-09
Alephnet GmbH;2021-12-08
Cooleben Technology GmbH;2021-12-08
evalio GmbH;2021-12-08
HOKEY POKEY GmbH;2021-12-08
howRyou GmbH;2021-12-08
Hyperion Realms GmbH;2021-12-08
MONITOR Plus GmbH;2021-12-08
Rhenso GmbH;2021-12-08
uSinus ECG Diagnostics GmbH;2021-12-08
Vitamin P Software GmbH;2021-12-08
AGT Roboplant GmbH;2021-12-07
Artsfair UG (haftungsbeschränkt);2021-12-07
awork GmbH;2021-12-07
been together UG (haftungsbeschränkt);2021-12-07
Clouts GmbH;2021-12-07
deep choice UG (haftungsbeschränkt);2021-12-07
dogs smile GmbH;2021-12-07
FOGSTER Technologies GmbH;2021-12-07
Friendly Finance GmbH;2021-12-07
Greentech GmbH;2021-12-07
Passionario UG (haftungsbeschränkt);2021-12-07
poolinq GmbH;2021-12-07
Quantum Enlightenment Technologies AG;2021-12-07
Safari Erfrischungsgetränke GmbH;2021-12-07
Tessitura GmbH;2021-12-07
Thesy GmbH;2021-12-07
WoodenValley UG (haftungsbeschränkt);2021-12-07
ZenKoPA GmbH;2021-12-07
Alicante Vice GmbH;2021-12-06
Baba Nails UG (haftungsbeschränkt);2021-12-06
BlockBrix GmbH;2021-12-06
DigiVET UG (haftungsbeschränkt);2021-12-06
Horizon Microtechnologies GmbH;2021-12-06
Logistikbude GmbH;2021-12-06
NG Guard Technology GmbH;2021-12-06
TraumImmo.de GmbH;2021-12-06
Velve UG (haftungsbeschränkt);2021-12-06
VetVisit GmbH;2021-12-06
Yoholida GmbH;2021-12-06
in.think GmbH;2021-12-04
Neutron Star Systems DE UG (haftungsbeschränkt);2021-12-04
sThesis GmbH;2021-12-04
tornero GmbH;2021-12-04
ansero UG (haftungsbeschränkt);2021-12-03
Coinformation GmbH;2021-12-03
C.O. Innovations GmbH;2021-12-03
Diatope GmbH;2021-12-03
Indigoblue UG (haftungsbeschränkt);2021-12-03
Optoquant GmbH;2021-12-03
Paul Solutions GmbH;2021-12-03
Sunnify Technologies UG (haftungsbeschränkt);2021-12-03
taus&sassa GmbH;2021-12-03
bitahoy GmbH;2021-12-02
Chili Mafia GmbH;2021-12-02
eplating UG (haftungsbeschränkt);2021-12-02
LABMaiTE GmbH;2021-12-02
Luminous Label GmbH;2021-12-02
PISM-Medical GmbH;2021-12-02
Quantagonia GmbH;2021-12-02
resolvio Software UG (haftungsbeschränkt);2021-12-02
Social Moms GmbH;2021-12-02
TrustLane Solutions GmbH;2021-12-02
VELOZONT UG (haftungsbeschränkt);2021-12-02
Viadukt GmbH;2021-12-02
we speak fluent cx GmbH;2021-12-02
WSIS GmbH;2021-12-02
Xoros Home GmbH;2021-12-02
4th condition UG (haftungsbeschränkt);2021-12-01
ArcadiaLabs UG (haftungschränkt);2021-12-01
BERG GaseTech GmbH;2021-12-01
Bike Hub GmbH;2021-12-01
Body Literacy GmbH;2021-12-01
Bynand UG (haftungsbeschränkt);2021-12-01
DayOff GmbH;2021-12-01
deliver24 GmbH;2021-12-01
dTour GmbH;2021-12-01
eDrixx GmbH;2021-12-01
foreverontheblockchain GmbH;2021-12-01
improveMED GmbH;2021-12-01
Invandus GmbH;2021-12-01
Larou UG (haftungsbeschränkt);2021-12-01
Lyntics GmbH;2021-12-01
Moonlight Technology AG;2021-12-01
Recrutario GmbH;2021-12-01
Rekoo Health GmbH;2021-12-01
Skincura GmbH;2021-12-01
SMARTtray GmbH;2021-12-01
sochili GmbH;2021-12-01
TAPPIO GmbH;2021-12-01
Univents GmbH;2021-12-01
021 Software GmbH;2021-11-30
auditBus GmbH;2021-11-30
Flexudy Education UG (haftungsbeschränkt);2021-11-30
holy shocolate GmbH;2021-11-30
Hoolo UG (haftungsbeschränkt);2021-11-30
MTHR GmbH;2021-11-30
Neomateria Games GmbH;2021-11-30
PokeCustoms GmbH;2021-11-30
Prodlane GmbH;2021-11-30
SOLIOS DIAGNOSTICS GmbH;2021-11-30
The Cezairli Olive Company UG (haftungsbeschränkt);2021-11-30
Treazure Ark GmbH;2021-11-30
Twaiv UG (haftungsbeschränkt);2021-11-30
ApptiveGrid GmbH;2021-11-29
cargonerds GmbH;2021-11-29
Education21 UG (haftungsbeschränkt);2021-11-29
Freudeo UG (haftungsbeschränkt);2021-11-29
greentelligent UG (haftungsbeschränkt);2021-11-29
Idea Solutions GmbH;2021-11-29
Nertus GmbH;2021-11-29
Quality Beast UG (haftungsbeschränkt);2021-11-29
sereact GmbH;2021-11-29
BEST - Basis effektiver Schmerztherapie GmbH;2021-11-26
BonfireHQ GmbH;2021-11-26
Coachgarden GmbH;2021-11-26
For Real Overlander GmbH;2021-11-26
hellaw UG (haftungsbeschränkt);2021-11-26
ichhaberecht.de UG (haftungsbeschränkt);2021-11-26
IonKraft GmbH;2021-11-26
iovo GmbH;2021-11-26
LM Bookie UG (haftungsbeschränkt);2021-11-26
movediscover GmbH;2021-11-26
The Core Label GmbH;2021-11-26
ValutaChange Germany GmbH;2021-11-26
Varent UG (haftungsbeschränkt);2021-11-26
Vote4Fame UG (haftungsbeschränkt);2021-11-26
Yugen Natural Cosmetics GmbH;2021-11-26
Brain4Media GmbH;2021-11-25
Collectably UG (haftungsbeschränkt);2021-11-25
Eperi Holding GmbH;2021-11-25
Esoraa UG (haftungsbeschränkt);2021-11-25
Fortunalista GmbH;2021-11-25
Gadgeta UG (haftungsbeschränkt);2021-11-25
GoKarla GmbH;2021-11-25
Klaripath GmbH;2021-11-25
Liquidary GmbH;2021-11-25
Listando GmbH;2021-11-25
Massive Beams GmbH;2021-11-25
Nimmerso GmbH;2021-11-25
RescSoft UG (haftungsbeschränkt);2021-11-25
Sam's Biscuits UG (haftungsbeschränkt);2021-11-25
Smarter Choices GmbH;2021-11-25
Triglu UG (haftungsbeschränkt);2021-11-25
we4everyone GmbH;2021-11-25
Aigen Algotech GmbH;2021-11-24
Big 3 Solutions GmbH;2021-11-24
BRRY GmbH;2021-11-24
Chaintech GmbH;2021-11-24
CUTANEON - Skin & Hair Innovations GmbH;2021-11-24
DASKrebsportal.de GmbH;2021-11-24
FRNZ GmbH;2021-11-24
Health Data Technologies GmbH;2021-11-24
Hoodie Hoo Technologies GmbH;2021-11-24
PandaBee Studios UG (haftungsbeschränkt);2021-11-24
Reservo24 UG (haftungsbeschränkt);2021-11-24
Resphere GmbH;2021-11-24
Royal Botanics GmbH;2021-11-24
Silent Dreams GmbH;2021-11-24
SIS PIGER GmbH;2021-11-24
Sub4U GmbH;2021-11-24
WeSort.AI GmbH;2021-11-24
ADVA Unlimited UG (haftungsbeschränkt);2021-11-23
Andre Technology GmbH;2021-11-23
beeboard GmbH;2021-11-23
BeU Lab GmbH;2021-11-23
BillBlitz GmbH;2021-11-23
Black Forest Brewing GmbH;2021-11-23
LReply GmbH;2021-11-23
MEMOREAN GmbH;2021-11-23
Piogen Industries UG (haftungsbeschränkt);2021-11-23
REACNOSTICS Modelling & Data Science GmbH;2021-11-23
solmorrow UG (haftungsbeschränkt);2021-11-23
ThrombShield UG (haftungsbeschränkt);2021-11-23
tolinax UG (haftungsbeschränkt);2021-11-23
Twenty8 GmbH;2021-11-23
Unmute GmbH;2021-11-23
WasteAnt GmbH;2021-11-23
zwanzigseiten UG (haftungsbeschränkt);2021-11-23
Autobahn Security GmbH;2021-11-22
Bug Monkeyz GmbH;2021-11-22
Eselly GmbH;2021-11-22
flygge UG (haftungsbeschränkt);2021-11-22
Gavel GmbH;2021-11-22
go4million GmbH;2021-11-22
LAYZR GmbH;2021-11-22
Mäx & Mäleon GmbH;2021-11-22
neurodactics GmbH;2021-11-22
Rapid Cubes GmbH;2021-11-22
Tap2Link GmbH;2021-11-21
Pfandnetzwerk UG (haftungsbeschränkt);2021-11-20
Resility GmbH;2021-11-20
Wee GmbH;2021-11-20
betadots GmbH;2021-11-19
Circleback GmbH;2021-11-19
DPMD Your Price GmbH;2021-11-19
Evolve Game Tools GmbH;2021-11-19
LuckyBrunch GmbH;2021-11-19
Moticator Coaching UG (haftungsbeschränkt);2021-11-19
Twain Technology UG (haftungsbeschränkt);2021-11-19
Walk The Frog UG (haftungsbeschränkt);2021-11-19
Xspecter GmbH;2021-11-19
Yellowcup GmbH;2021-11-19
addoptIO GmbH;2021-11-18
Bergsonne Labs GmbH;2021-11-18
Connou UG (haftungsbeschränlt);2021-11-18
Flowers For Society GmbH;2021-11-18
Heatly UG (haftungsbeschränkt);2021-11-18
Jodama GmbH;2021-11-18
maesh GmbH;2021-11-18
mein.BIKE GmbH;2021-11-18
MoveMaster GmbH;2021-11-18
PARARTGON UG (haftungsbeschränkt);2021-11-18
Preevent.me GmbH;2021-11-18
RURERU GmbH;2021-11-18
Anpaka GmbH;2021-11-17
CERT ALL UG (haftungsbeschränkt);2021-11-17
Farmsensor GmbH;2021-11-17
Fewopal GmbH;2021-11-17
Football Elevaitor GmbH;2021-11-17
Forevermind GmbH;2021-11-17
HEIDI+HERA Skincare UG (haftungsbeschränkt);2021-11-17
Just Connect GmbH;2021-11-17
MOVARTI GmbH;2021-11-17
Optimo GmbH;2021-11-17
Primus Finance Solutions GmbH;2021-11-17
r3charge Travel GmbH;2021-11-17
re7 Biotech GmbH;2021-11-17
Sygyt Software UG (haftungsbeschränkt);2021-11-17
Tabletop Lights & Magic GmbH;2021-11-17
AgileValue UG (haftungsbeschränkt);2021-11-16
Bakerix GmbH;2021-11-16
BBQ Rescher GmbH;2021-11-16
Biomes NGS GmbH;2021-11-16
duke. Technology UG (haftungsbeschränkt);2021-11-16
eezewave GmbH;2021-11-16
Evolute CX GmbH;2021-11-16
FK Productions GmbH;2021-11-16
Mindpalace UG (haftungsbeschränkt);2021-11-16
Monetaz GmbH;2021-11-16
Neualp GmbH;2021-11-16
Nutrimya GmbH;2021-11-16
Paper Pass GmbH;2021-11-16
Rform Research Mixtapes UG (haftungsbeschränkt);2021-11-16
Tupu Farming Solutions GmbH;2021-11-16
wellyou - be happy UG (haftungsbeschränkt);2021-11-16
Clicklich.com UG (haftungsbeschränkt);2021-11-15
COSVENA GmbH;2021-11-15
di: health UG (haftungsbeschränkt);2021-11-15
MetaQuant Technologies GmbH;2021-11-15
Remote Future GmbH;2021-11-15
SAMPOCHEM GmbH;2021-11-15
Spark Games UG (haftungsbeschränkt);2021-11-15
Taxnation GmbH;2021-11-15
Thanatos Entertainment GmbH;2021-11-15
ThingsRock GmbH;2021-11-15
True Petfood GmbH;2021-11-15
valy networks UG (haftungsbeschränkt);2021-11-15
Yonikorn GmbH;2021-11-15
CoCo-Communication & Collaboration GmbH;2021-11-13
Active Signage GmbH;2021-11-12
Aimino Tech GmbH;2021-11-12
Betaverse UG (haftungsbeschränkt);2021-11-12
Chainvest Capital UG (haftungsbeschränkt);2021-11-12
Deprevent UG (haftungsbeschränkt);2021-11-12
EatMyPlants GmbH;2021-11-12
genesis mediware GmbH;2021-11-12
Goodville GmbH;2021-11-12
Kluuf GmbH;2021-11-12
LAVYR GmbH;2021-11-12
My Beauty Call GmbH;2021-11-12
OIY Solutions GmbH;2021-11-12
qpay GmbH;2021-11-12
Resonance UG (haftungsbeschränkt);2021-11-12
Scopas Technologies GmbH;2021-11-12
Switchboard GmbH;2021-11-12
aeffect GmbH;2021-11-11
EasyFone GmbH;2021-11-11
eNEXT UG (haftungsbeschränkt);2021-11-11
JaFa Tech UG (haftungsbeschränkt);2021-11-11
Pinpoint GmbH;2021-11-11
Polytalon GmbH;2021-11-11
small.ones UG (haftungsbeschränkt);2021-11-11
Soundix GmbH;2021-11-11
teambilling GmbH;2021-11-11
ANTICIPATE GmbH;2021-11-10
CaDo Medical Solutions GmbH;2021-11-10
CORTICORE GmbH;2021-11-10
Digital Smiles GmbH;2021-11-10
Exonode UG (haftungsbeschränkt);2021-11-10
GamerGrid GmbH;2021-11-10
Ing Plus AG;2021-11-10
Jade Food GmbH;2021-11-10
newon.ads GmbH;2021-11-10
palým app GmbH;2021-11-10
Portfolio App GmbH;2021-11-10
Privorg UG (haftungsbeschränkt);2021-11-10
SpeedVille Digital GmbH;2021-11-10
World for Climate GmbH;2021-11-10
Alcognition UG (haftungsbeschränkt);2021-11-09
Bausicht UG (haftungsbeschränkt);2021-11-09
Digitaler Ernährungskompass GmbH;2021-11-09
ELEXIR AG;2021-11-09
KuDiBa GmbH;2021-11-09
Leviathan GmbH;2021-11-09
miropack Verpackungstechnik GmbH;2021-11-09
Osteomaps UG (haftungsbeschränkt);2021-11-09
Packfinder24 GmbH;2021-11-09
Pocuter GmbH;2021-11-09
Rudelkönig GmbH;2021-11-09
Seabird Games UG (haftungsbeschränkt);2021-11-09
shiawa GmbH;2021-11-09
Smart Chains GmbH;2021-11-09
Solcotec UG (haftungsbeschränkt);2021-11-09
TBGames UG (haftungsbeschränkt);2021-11-09
turtuga - change maker community UG (haftungsbeschränkt);2021-11-09
ACANDU GmbH;2021-11-08
DiGA-Finder GmbH;2021-11-08
FlyFriendsUG (haftungsbeschränkt);2021-11-08
Hinterland GmbH;2021-11-08
Lockcard GmbH;2021-11-08
luminous algorithms GmbH;2021-11-08
Modelation UG (haftungsbeschränkt);2021-11-08
OpenAshram GmbH;2021-11-08
Qruise GmbH;2021-11-08
Compressed Air Kraftwerk GmbH;2021-11-06
metacells GmbH;2021-11-06
Tensorik GmbH;2021-11-06
Timetree GmbH;2021-11-06
Vintus GmbH;2021-11-06
wecraftjoy GmbH;2021-11-06
bikematch UG (haftungsbeschränkt);2021-11-05
Ceyeborg GmbH;2021-11-05
coryfae GmbH;2021-11-05
GOOD FUTURE CLUB UG (haftungsbeschränkt);2021-11-05
Green Tree Farming GmbH;2021-11-05
KalPie UG (haftungsbeschränkt);2021-11-05
LuniCheck GmbH;2021-11-05
Novabotics GmbH;2021-11-05
Perkio UG (haftungsbeschränkt);2021-11-05
Qdrant Solutions GmbH;2021-11-05
Risk Architects GmbH;2021-11-05
sikwel GmbH;2021-11-05
That's it International GmbH;2021-11-05
Tilo Tech GmbH;2021-11-05
Treesense GmbH;2021-11-05
ZERO defects GmbH;2021-11-05
AURORA GmbH;2021-11-04
Bohr Green Technologies GmbH;2021-11-04
Carbless GmbH;2021-11-04
cendria business UG (haftungsbeschränkt);2021-11-04
Circadian Technologies UG (haftungsbeschränkt);2021-11-04
ecoLocked GmbH;2021-11-04
Fingentia GmbH;2021-11-04
Flexopus GmbH;2021-11-04
Jack 'n Check UG (haftungsbeschränkt);2021-11-04
Kompetek Interaktiv GmbH;2021-11-04
Musical Bits GmbH;2021-11-04
Nachhaltigkeitshelden GmbH;2021-11-04
PartU GmbH;2021-11-04
PREVENTIO GmbH;2021-11-04
Reevaze GmbH;2021-11-04
SLS Sustainable Lifestyle Solutions GmbH;2021-11-04
SmartDecon GmbH;2021-11-04
VESTUR UG (haftungsbeschränkt);2021-11-04
VigorHydrogen AG;2021-11-04
CLINKTWIN GmbH;2021-11-03
Deutsch Express Technologies GmbH;2021-11-03
Digital Cauldron GmbH;2021-11-03
DrinkNow UG (haftungsbeschränkt);2021-11-03
ESR EINSTEIN SURGICAL ROBOTICS GmbH;2021-11-03
m4 wireless GmbH;2021-11-03
MyArtist&Me GmbH;2021-11-03
nulios GmbH;2021-11-03
Open Administration UG (haftungsbeschränkt);2021-11-03
pack&satt UG (haftungsbeschränkt);2021-11-03
Tippland GmbH;2021-11-03
zvarm.com UG (haftungsbeschränkt);2021-11-03
DLiWR Technologies GmbH;2021-11-02
escentis UG (haftungsbeschränkt);2021-11-02
inkBlue GmbH;2021-11-02
Mobias Mobility Advanced Solutions GmbH;2021-11-02
Passionfroot GmbH;2021-11-02
Respeak GmbH;2021-11-02
Rex Technologies GmbH;2021-11-02
Seqstant GmbH;2021-11-02
smart-sp GmbH;2021-11-02
soonami.io GmbH;2021-11-02
timpl UG (haftungsbeschränkt);2021-11-02
Trödelspende UG (haftungsbeschränkt);2021-11-02
Wilder Mind GmbH;2021-11-02
Beautyhealthy24 UG (haftungsbeschränkt);2021-11-01
FEI Skincare GmbH;2021-11-01
For Eyes UG (haftungsbeschränkt);2021-11-01
Invisible Foods Germany UG (haftungsbeschränkt);2021-11-01
kinkerlitz Games UG (haftungsbeschränkt);2021-11-01
Nanahoa GmbH;2021-11-01
Naturküste GmbH;2021-11-01
PalDent Tech GmbH;2021-11-01
Plantobelly UG (haftungsbeschränkt);2021-11-01
Grapes GmbH;2021-10-30
ImmBlend GmbH;2021-10-30
RESOLVED GmbH;2021-10-30
wandai GmbH;2021-10-30
Advanced Diagnostics GmbH;2021-10-29
Elevator Intelligence GmbH;2021-10-29
Getyourlicence UG (haftungsbeschränkt);2021-10-29
Glasbote GmbH;2021-10-29
Green Aureus GmbH;2021-10-29
l1r1 technologies GmbH;2021-10-29
neoludic games UG (haftungsbeschränkt);2021-10-29
Newcon Technologies UG (haftungsbeschränkt);2021-10-29
SCENTS HEALTH GmbH;2021-10-29
StudioWP Software UG (haftungsbeschränkt);2021-10-29
25 HOURS connect GmbH;2021-10-28
AeroSys AG;2021-10-28
ALAIQ Technologie GmbH;2021-10-28
brainjo UG (haftungsbeschränkt);2021-10-28
Center Smart Industrial Agriculture GmbH;2021-10-28
CLIMB ROBOT GmbH;2021-10-28
eco2eat GmbH;2021-10-28
Eldertech GmbH;2021-10-28
IEC Collective UG (haftungsbeschränkt);2021-10-28
Kardiolive GmbH;2021-10-28
Kudos Labs Ops GmbH;2021-10-28
maris digital GmbH;2021-10-28
needaguru UG (haftungsbeschränkt);2021-10-28
Orgazign Solutions GmbH;2021-10-28
Pecrage UG (haftungsbeschränkt);2021-10-28
SaasMetrix GmbH;2021-10-28
Scoby UG (haftungsbeschränkt);2021-10-28
AdaptionLab GmbH;2021-10-27
FoodConfetti GmbH;2021-10-27
Gofurnit GmbH;2021-10-27
hyperdrives GmbH;2021-10-27
LCS Lean Compliance Services GmbH;2021-10-27
Look! ET UG (haftungsbeschränkt);2021-10-27
mealify GmbH;2021-10-27
MYOact GmbH;2021-10-27
SENF.xyz UG (haftungsbeschränkt);2021-10-27
traide AI GmbH;2021-10-27
Whos this GmbH;2021-10-27
Wild Wyvern Studios UG (haftungsbeschränkt);2021-10-27
wyz GmbH;2021-10-27
billplease GmbH;2021-10-26
CEEZER Software GmbH;2021-10-26
Continental Payment GmbH;2021-10-26
DigiRift GmbH;2021-10-26
eat munchy GmbH;2021-10-26
eMaple GmbH;2021-10-26
Exique UG (haftungsbeschränkt);2021-10-26
naoparo GmbH;2021-10-26
ORDERLAB UG (haftungsbeschränkt);2021-10-26
Pflanzenkraft GmbH;2021-10-26
ROONIQ GmbH;2021-10-26
ScanRG GmbH;2021-10-26
Think-tech! GmbH;2021-10-26
Vorkaufen.de Service UG (haftungsbeschränkt);2021-10-26
Claryself UG (haftungsbeschränkt);2021-10-25
COFYMI GmbH;2021-10-25
FenzFoot GmbH;2021-10-25
frats UG (haftungsbeschränkt);2021-10-25
Intelligent Energy Transformation GmbH;2021-10-25
VIO21 GmbH;2021-10-25
WW Solutions GmbH;2021-10-25
ZILLES-IT GmbH;2021-10-25
DirectFEM UG (haftungsbeschränkt);2021-10-23
Orange Bridges UG (haftungsbeschränkt);2021-10-23
Tinus GmbH;2021-10-23
ELEGEND AG;2021-10-22
KaiserFiz GmbH;2021-10-22
Qualas UG (haftungsbeschränkt);2021-10-22
Raya Diagnostics GmbH;2021-10-22
Zeoheat GmbH;2021-10-22
ZusammenStromen GmbH;2021-10-22
Cashtag GmbH;2021-10-21
COVIDZERT UG (haftungsbeschränkt);2021-10-21
deepeye Medical GmbH;2021-10-21
EasyJector GmbH;2021-10-21
GoGreen Together UG (haftungsbeschränkt);2021-10-21
PLANIS E3 Empathy Engineering GmbH;2021-10-21
SAVE THE NATURE GmbH;2021-10-21
Viron Academy UG (haftungsbeschränkt);2021-10-21
