startup_id;startup_name;date_incorporated;register_identification_number;register;startup_location;startup_industry;startup_website;LinkedIn;;
startup_16;XPANSE Powertrain GmbH;2021-12-30;HRB 209719;Braunschweig;Lehre;Mobilität;;;16;
startup_17;2GuyGames UG (haftungsbeschränkt);2021-12-29;HRB 36195 P;Potsdam;Potsdam;Gaming;https://www.2guygames.com/;https://www.linkedin.com/company/2guygames/;17;
startup_18;desk.ly GmbH;2021-12-29;HRB 217082;Osnabrück;Osnabrück;Personal;https://desk.ly/;https://www.linkedin.com/company/desk-ly/;18;
startup_19;Foodwater GmbH;2021-12-29;HRB 67935;Ludwigshafen a.Rhein (Ludwigshafen);Speyer;Lebensmittel;https://www.foodwater.de/;;19;
startup_20;LeaseHub GmbH;2021-12-29;HRB 19677;Memmingen;Neu-Ulm;Werbung;https://leasehub.de/;https://www.linkedin.com/company/leasehub-software/;20;
startup_21;MAYLA GmbH;2021-12-29;HRB 172892;Hamburg;Hamburg;Mobilität;;;21;
startup_22;Megavoid Studios GmbH;2021-12-29;HRB 10615;Hamm;Bergkamen;Gaming;https://www.infinite-realms.de/;;22;
startup_23;OneStop Pro Software Solutions GmbH;2021-12-29;HRB 11640;Passau;Passau;Bauwesen;https://www.onestop-pro.com/;https://www.linkedin.com/company/onestop-pro-asset-management/;23;
startup_24;Privory GmbH;2021-12-29;HRB 742471;Mannheim;Heidelberg;Software;https://privory.de/;;24;
startup_25;Solarportal GmbH;2021-12-29;HRB 37548 HB;Bremen;Bremen;Energie;https://www.solarportal.de/;;25;
startup_26;Sustainable Manufacturing GmbH;2021-12-29;HRB 217677;Oldenburg;Ganderkesee;eCommerce;;;26;
startup_27;SUSTAINX GmbH;2021-12-29;HRB 272078;München;München;Umwelttechnologie;https://sustainx.de/;https://www.linkedin.com/company/sustainability-transformation/;27;
startup_28;VoteBase GmbH;2021-12-29;HRB 108828;Köln;Bergisch Gladbach;Software;https://votebase.io/;https://www.linkedin.com/company/votebase-gmbh;28;
startup_29;Altea Vision GmbH;2021-12-28;HRB 222868;Hannover;Laatzen;Medizin;https://altea-vision.de/;;29;
startup_30;AVAILY AG;2021-12-28;HRB 34925;Duisburg;Duisburg;Immobilien;;https://www.linkedin.com/company/availy-ag;30;
startup_31;grammar bricks GmbH;2021-12-28;HRB 34588;Chemnitz;Plauen;Bildung;http://grammarbricks.de/;;31;
startup_32;Njord GmbH;2021-12-28;HRB 25410;Aachen;Aachen;Mobilität;;;32;
startup_33;SECRET MAGIC GmbH;2021-12-28;HRB 54318;Offenbach am Main;Rodgau;eCommerce;https://secret-magic-store.de/;;33;
startup_34;The Power for Future UG (haftungsbeschränkt);2021-12-28;HRB 206157;Aurich;Emden;Energie;http://powerforfuture.de/;;34;
startup_35;AppsForOrgs Software UG (haftungsbeschränkt);2021-12-27;HRB 742432;Mannheim;Heidelberg;Software;;;35;
startup_36;detective.solutions GmbH;2021-12-27;HRB 95919;Düsseldorf;Düsseldorf;Software;http://www.detective.solutions/;https://www.linkedin.com/company/detective-solutions/;36;
startup_37;Griffig Robotics GmbH;2021-12-27;HRB 33070;Essen;Hattingen;Industrie;;;37;
startup_38;GröGo Gemüseabo GmbH;2021-12-27;HRB 22064 HL;Lübeck;Ratzeburg;Lebensmittel;https://www.grögo.de/;;38;
startup_39;Iteration One GmbH;2021-12-27;HRB 742420;Mannheim;Karlsruhe;Software;;;39;
startup_40;Kinus GmbH;2021-12-27;HRB 20614;Moenchengladbach;Mönchengladbach;Software;;;40;
startup_41;Layover Solutions GmbH;2021-12-27;HRB 125847;Frankfurt am Main;Frankfurt am Main;Tourismus;https://layoversolutions.com/;https://www.linkedin.com/company/layoversolutions/;41;
startup_42;Native Technology Education GmbH;2021-12-27;HRB 237065 B;Charlottenburg (Berlin);Berlin;Bildung;https://getnate.io/;https://www.linkedin.com/company/getnate/;42;
startup_43;NClip Collectibles UG (haftungsbeschränkt);2021-12-27;HRB 108807;Köln;Overath;Blockchain / Crypto;http://nclip.io/;;43;
startup_44;ProductionPool GmbH;2021-12-27;HRB 172849;Hamburg;Hamburg;Personal;;;44;
startup_45;SenCircle GmbH;2021-12-27;HRB 30768;Stendal;Halle (Saale);Dienstleistung;;https://www.linkedin.com/company/sencircle-gmbh/;45;
startup_46;STAI GmbH;2021-12-27;HRB 782608;Stuttgart;Stuttgart;Umwelttechnologie;https://stai.global/;;46;
startup_47;United Food Kits GmbH;2021-12-27;HRB 172865;Hamburg;Hamburg;Lebensmittel;https://unitedfoodkits.de/;;47;
startup_48;Valkental GmbH;2021-12-27;HRB 95926;Düsseldorf;Monheim am Rhein;Mobilität;https://valkental.de/;https://www.linkedin.com/company/valkental;48;
startup_49;allcompare GmbH;2021-12-23;HRB 743453;Ulm;Aalen;Finanzbereich;http://allcompare.de/;;49;
startup_50;Foodaround UG (haftungsbeschränkt);2021-12-23;HRB 237030 B;Charlottenburg (Berlin);Berlin;Lebensmittel;;;50;
startup_51;Ideal Theta UG (haftungsbeschränkt);2021-12-23;HRB 42304;Dresden;Dresden;Gaming;;;51;
startup_52;metiundo GmbH;2021-12-23;HRB 237024 B;Charlottenburg (Berlin);Berlin;Immobilien;https://www.metiundo.io/;https://www.linkedin.com/company/metiundo-gmbh/;52;
startup_53;Mnmytnt GmbH;2021-12-23;HRB 108776;Köln;Erftstadt;Blockchain / Crypto;https://my-net.io/;https://www.linkedin.com/company/mycelium-network/;53;
startup_54;Richtfest Tech UG (haftungsbeschränkt);2021-12-23;HRB 237056 B;Charlottenburg (Berlin);Berlin;Software;http://richtfest.tech/;;54;
startup_55;Willgood Technology GmbH;2021-12-23;HRB 33362;Kaiserslautern;Kaiserslautern;Sport;https://willgood-technology.com/;;55;
startup_56;Building Enerlytics GmbH;2021-12-22;HRB 237015 B;Charlottenburg (Berlin);Berlin;Energie;https://buildingenerlytics.com/;;56;
startup_57;Cryptoticker.io GmbH;2021-12-22;HRB 236931 B;Charlottenburg (Berlin);Berlin;Blockchain / Crypto;https://cryptoticker.io/;https://www.linkedin.com/company/cryptoticker-io/;57;
startup_58;DARYSE GmbH;2021-12-22;HRB 108758;Köln;Odenthal;Sport;;;58;
startup_59;Dascai GmbH;2021-12-22;HRB 237027 B;Charlottenburg (Berlin);Berlin;Tourismus;;;59;
startup_60;Engagesystems UG (haftungsbeschränkt);2021-12-22;HRB 30746;Stendal;Magdeburg;Software;;;60;
startup_61;Jamix - Solutions UG (haftungsbeschränkt);2021-12-22;HRB 222853;Hannover;Hannover;Lebensmittel;http://jamix-solutions.de/;;61;
startup_62;jus&jar GmbH;2021-12-22;HRB 236996 B;Charlottenburg (Berlin);Berlin;Lebensmittel;;;62;
startup_63;NFT Games Analytics UG (haftungsbeschränkt);2021-12-22;HRB 236942 B;Charlottenburg (Berlin);Berlin;Blockchain / Crypto;;;63;
startup_64;ONTHEGO GmbH;2021-12-22;HRB 108756;Köln;Köln;Personal;http://onthego-crm.com/;;64;
startup_65;Pexam GmbH;2021-12-22;HRB 19933;Münster;Münster;Bildung;https://pexam.de/;https://www.linkedin.com/company/pexam/;65;
startup_66;POCT Technologies GmbH;2021-12-22;HRB 743447;Ulm;Stetten am kalten Markt;Medizin;http://poct-technologies.de/;;66;
startup_67;Scopewire Data GmbH;2021-12-22;HRB 15554;Paderborn;Lichtenau;Software;https://scopewire.de/;;67;
startup_68;SetActive Media UG (haftungsbeschränkt);2021-12-22;HRB 23837 KI;Kiel;Lebrade;Medien;https://preffect.de/;https://www.linkedin.com/company/preffect/;68;
startup_69;Smart Textiles Hub GmbH;2021-12-22;HRB 42299;Dresden;Dresden;Hardware;;;69;
startup_70;SYPOX GmbH;2021-12-22;HRB 271957;München;Freising;Energie;https://www.sypox.eu/;https://www.linkedin.com/company/sypox/;70;
startup_71;Visiolumen Technologie GmbH;2021-12-22;HRB 95897;Düsseldorf;Düsseldorf;Software;;;71;
startup_72;Vitavegan GmbH;2021-12-22;HRB 782552;Stuttgart;Stuttgart;Lebensmittel;;;72;
startup_73;WD Visuals GmbH;2021-12-22;HRB 95902;Düsseldorf;Düsseldorf;Medien;http://widu.co/;https://www.linkedin.com/company/wid%C3%BA;73;
startup_74;Workspacify UG (haftungsbeschränkt);2021-12-22;HRB 236990 B;Charlottenburg (Berlin);Berlin;eCommerce;https://www.workspacify.com/;;74;
startup_75;AlphaMatch GmbH;2021-12-21;HRB 271913;München;München;Bildung;https://alphamatch.de/;https://www.linkedin.com/company/alphamatch/;75;
startup_76;Auf Augenhöhe UG (haftungsbeschränkt);2021-12-21;HRB 236916 B;Charlottenburg (Berlin);Berlin;eCommerce;https://www.aufaugenhoehe.design/;;76;
startup_77;dmg movement GmbH;2021-12-21;HRB 16213;Kempten;Weißensberg;Mobilität;http://www.dmg-movement.de/;;77;
startup_78;elevate Solutions GmbH;2021-12-21;HRB 54301;Offenbach am Main;Offenbach am Main;Hardware;http://elevate-solutions.de/;;78;
startup_79;Future Frames UG (haftungsbeschränkt);2021-12-21;HRB 102851;Darmstadt;Darmstadt;Hardware;https://nftframes.de/;https://www.linkedin.com/company/future-frames/;79;
startup_80;Printoptix GmbH;2021-12-21;HRB 782517;Stuttgart;Stuttgart;Industrie;https://www.printoptics.de/;https://www.linkedin.com/company/printoptics/;80;
startup_81;Prismamed GmbH;2021-12-21;HRB 271900;München;München;Medizin;;;81;
startup_82;Applimeda GmbH;2021-12-20;HRB 25383;Aachen;Aachen;Medizin;http://www.applimeda.com/;https://www.linkedin.com/company/applimeda;82;
startup_83;bitsurance UG (haftungsbeschränkt);2021-12-20;HRB 207867;Hildesheim;Hildesheim;Versicherung;;;83;
startup_84;Driverslog Pro GmbH;2021-12-20;HRB 782495;Stuttgart;Gomaringen;Mobilität;https://driverslogpro.de/;;84;
startup_85;Orbiture UG (haftungsbeschränkt);2021-12-20;HRB 108714;Köln;Köln;Umwelttechnologie;;https://www.linkedin.com/company/orbiture/;85;
startup_86;polycirQ GmbH;2021-12-20;HRB 108708;Köln;Köln;Umwelttechnologie;http://polycirq.de/;;86;
startup_87;PolyPirates UG (haftungsbeschränkt);2021-12-20;HRB 95868;Düsseldorf;Düsseldorf;Gaming;https://polypirates.com/;;87;
startup_88;Ragnar UG (haftungsbeschränkt);2021-12-20;HRB 743407;Ulm;Ulm;eCommerce;;;88;
startup_89;shared mobility services GmbH;2021-12-20;HRB 207868;Hildesheim;Lehrte;Mobilität;http://sharedmobilityservices.de/;;89;
startup_90;Smart & Cheeky GmbH;2021-12-20;HRB 172767;Hamburg;Hamburg;Personal;;;90;
startup_91;Soulbreak GmbH;2021-12-20;HRB 23815 KI;Kiel;Kiel;Medizin;http://www.soulbreak.de/;https://www.linkedin.com/company/soulbreak/;91;
startup_92;sovity GmbH;2021-12-20;HRB 33586;Dortmund;Dortmund;Software;https://sovity.de/;https://www.linkedin.com/company/sovity;92;
startup_93;TALENT SAXONY GmbH;2021-12-20;HRB 42272;Dresden;Dresden;Bauwesen;;;93;
startup_94;VenueScout GmbH;2021-12-20;HRB 108718;Köln;Köln;Tourismus;https://www.venuescout.org/;https://www.linkedin.com/company/venuescoutplatform/;94;
startup_95;Heal11 GmbH;2021-12-18;HRB 39894;Nürnberg;Nürnberg;Medizin;https://heal11.de/;https://www.linkedin.com/company/heal11-gmbh/;95;
startup_96;IMMOFOX GmbH;2021-12-18;HRB 19284;Fürth;Fürth;Immobilien;;;96;
startup_97;JPEG Import/Export GmbH;2021-12-18;HRB 217628;Oldenburg;Oldenburg;Blockchain / Crypto;;;97;
startup_98;CapiWise UG (haftungsbeschränkt);2021-12-17;HRB 236741 B;Charlottenburg (Berlin);Berlin;Finanzbereich;http://www.capiwise.com/;;98;
startup_99;ecoro GmbH;2021-12-17;HRB 15996;Würzburg;Würzburg;Mobilität;;;99;
startup_100;HappieHaus Wellbeing GmbH;2021-12-17;HRB 236824 B;Charlottenburg (Berlin);Berlin;Medizin;https://happiehaus.com/;https://www.linkedin.com/company/happie-haus/;100;
startup_101;Kcrypt Lab UG (haftungsbeschränkt);2021-12-17;HRB 236758 B;Charlottenburg (Berlin);Berlin;Software;;;101;
startup_102;Lidyne UG (haftungsbeschränkt);2021-12-17;HRB 782443;Stuttgart;Reutlingen;Hardware;https://lidyne.com/;;102;
startup_103;m2ing GmbH;2021-12-17;HRB 271855;München;München;Immobilien;;;103;
startup_104;MAxK GmbH;2021-12-17;HRB 725592;Freiburg;Mühlenbach;Sport;https://maxk-germany.com/;;104;
startup_105;McHeadhunter UG (haftungsbeschränkt);2021-12-17;HRB 33576;Dortmund;Schwerte;Personal;https://www.mcheadhunter.com/;https://www.linkedin.com/company/mcheadhunter/;105;
startup_106;Meoton GmbH;2021-12-17;HRB 236870 B;Charlottenburg (Berlin);Berlin;Lebensmittel;https://www.meoton.com/;;106;
startup_107;Oogtech AI UG (haftungsbeschränkt);2021-12-17;HRB 102836;Darmstadt;Darmstadt;Medizin;https://www.oogtech-ai.de/;;107;
startup_108;PRCS App UG (haftungsbeschränkt);2021-12-17;HRB 236762 B;Charlottenburg (Berlin);Berlin;Finanzbereich;https://prcsapp.com/;;108;
startup_109;RockFeel GmbH;2021-12-17;HRB 34552;Chemnitz;Freiberg;Bauwesen;;;109;
startup_110;RotHuf UG (haftungsbeschränkt);2021-12-17;HRB 30726;Stendal;Calvörde;Sport;http://rothuf.com/;;110;
startup_111;SafeHome GmbH;2021-12-17;HRB 742339;Mannheim;Heidelberg;Immobilien;;;111;
startup_112;SNACKED! UG (haftungsbeschränkt);2021-12-17;HRB 19920;Münster;Münster;Software;;;112;
startup_113;Terra CT GmbH;2021-12-17;HRB 782448;Stuttgart;Stuttgart;Industrie;http://terra-ct.de/;;113;
startup_114;THEO App GmbH;2021-12-17;HRB 271829;München;Bad Tölz;Mobilität;https://theo-app.com/;;114;
startup_115;Wide Thinker UG (haftungsbeschränkt);2021-12-17;HRB 125781;Frankfurt am Main;Frankfurt am Main;Bildung;;;115;
startup_116;Clevercreek UG (haftungsbeschränkt);2021-12-16;HRB 7711;Ansbach;Lichtenau;Sport;http://clevercreek.de/;;116;
startup_117;Crewting GmbH;2021-12-16;HRB 36914;Augsburg;Augsburg;Personal;https://crewting.com/;;117;
startup_118;Green IN Beauty UG (haftungsbeschränkt);2021-12-16;HRB 36910;Augsburg;Landsberg am Lech;eCommerce;http://greeninbeauty.de/;;118;
startup_119;haperepa UG (haftungsbeschränkt);2021-12-16;HRB 11615;Passau;Passau;Software;;;119;
startup_120;Lifelight Entertainment GmbH;2021-12-16;HRB 33573;Dortmund;Dortmund;Gaming;https://lifelight-entertainment.de/;https://www.linkedin.com/company/lifelight-entertainment/;120;
startup_121;Luc & Dan´s Food Lab GmbH;2021-12-16;HRB 271772;München;München;Lebensmittel;http://lucanddans.com/;https://www.linkedin.com/company/luc-and-dan-s-food-lab/;121;
startup_122;Mango Netsolutions GmbH;2021-12-16;HRB 125759;Frankfurt am Main;Frankfurt am Main;Software;;;122;
startup_123;memodio GmbH;2021-12-16;HRB 36139 P;Potsdam;Potsdam;Medizin;https://memodio-app.com/;https://www.linkedin.com/company/memodio-app/;123;
startup_124;merlim GmbH;2021-12-16;HRB 782414;Stuttgart;Ostfildern;Lebensmittel;https://www.merlim.de/;;124;
startup_125;Mostly Games UG (haftungsbeschränkt);2021-12-16;HRB 236632 B;Charlottenburg (Berlin);Berlin;Gaming;;;125;
startup_126;Pharma-Care Deutschland PCD UG (haftungsbeschränkt);2021-12-16;HRB 172725;Hamburg;Hamburg;Medizin;https://skillme.de/pharmacare/;;126;
startup_127;Praxion GmbH;2021-12-16;HRB 209923;Walsrode;Diepholz;Medizin;;;127;
startup_128;Synctive UG (haftungsbeschränkt);2021-12-16;HRB 44618;Bielefeld;Bielefeld;Industrie;https://synctive.de/;https://www.linkedin.com/company/synctive/;128;
startup_129;COGO Hub GmbH;2021-12-15;HRB 236641 B;Charlottenburg (Berlin);Berlin;Personal;https://cogohub.eu/;;129;
startup_130;Directra GmbH;2021-12-15;HRB 782398;Stuttgart;Ludwigsburg;Personal;;;130;
startup_131;foodroots GmbH;2021-12-15;HRB 222815;Hannover;Hannover;Landwirtschaft;;;131;
startup_132;GJIN GmbH;2021-12-15;HRB 271749;München;Andechs;Dienstleistung;https://www.gjin.de/;;132;
startup_133;HBOX Therapies GmbH;2021-12-15;HRB 25372;Aachen;Aachen;Medizin;https://www.hbox-therapies.com/;https://www.linkedin.com/company/hbox-therapies/;133;
startup_134;Hexflow GmbH;2021-12-15;HRB 15368 FL;Flensburg;Großenwiehe;Logistik;http://hexflow.de/;;134;
startup_135;MakeStoryboard UG (haftungsbeschränkt);2021-12-15;HRB 271734;München;München;Medien;https://makestoryboard.com/;;135;
startup_136;MoneyWalk UG (haftungsbeschränkt);2021-12-15;HRB 236711 B;Charlottenburg (Berlin);Berlin;Sport;;;136;
startup_137;OpenQ UG (haftungsbeschränkt);2021-12-15;HRB 236736 B;Charlottenburg (Berlin);Berlin;Personal;https://openq.dev/;https://www.linkedin.com/company/openqdev;137;
startup_138;Proton Camera Innovations GmbH;2021-12-15;HRB 222818;Hannover;Garbsen;Hardware;;;138;
startup_139;real-cis GmbH;2021-12-15;HRB 12997;Landshut;Langen (Hessen);Bauwesen;http://www.real-cis.com/;https://www.linkedin.com/company/real-cis-gmbh;139;
startup_140;retailmediatools GmbH;2021-12-15;HRB 236773 B;Charlottenburg (Berlin);Berlin;Werbung;https://www.retailmediatools.com/;https://www.linkedin.com/company/retailmediatools/;140;
startup_141;SafeGate GmbH;2021-12-15;HRB 742305;Mannheim;Eberbach;Medizin;https://safegate.de/;;141;
startup_142;SAIZ GmbH;2021-12-15;HRB 236707 B;Charlottenburg (Berlin);Berlin;eCommerce;https://saiz.io/;https://www.linkedin.com/company/saiz-solutions/;142;
startup_143;SmartPetPro GmbH;2021-12-15;HRB 271737;München;Glonn;eCommerce;http://smartpetpro.de/;;143;
startup_144;Together Living UG (haftungsbeschränkt);2021-12-15;HRB 33569;Dortmund;Dortmund;Immobilien;http://together-living.de/;https://www.linkedin.com/company/together-living/;144;
startup_145;WhalesDontFly H&F GmbH;2021-12-15;HRB 236710 B;Charlottenburg (Berlin);Berlin;Gaming;http://whalesdontfly.de/;;145;
startup_146;Yaloya GmbH;2021-12-15;HRB 108671;Köln;Köln;Personal;https://yaloya.club/;https://www.linkedin.com/company/yaloya-club/;146;
startup_147;YOLLA Food & Tech GmbH;2021-12-15;HRB 236658 B;Charlottenburg (Berlin);Berlin;Lebensmittel;;;147;
startup_148;ZenOps Technologies UG (haftungsbeschränkt);2021-12-15;HRB 236794 B;Charlottenburg (Berlin);Berlin;Software;;;148;
startup_149;AddInno GmbH;2021-12-14;HRB 19642;Memmingen;Bad Wörishofen;Software;http://addinno.com/;;149;
startup_150;airrange software GmbH;2021-12-14;HRB 271683;München;Krailling;Software;https://www.airrange.io/;https://www.linkedin.com/company/airrange/;150;
startup_151;Aviasonic GmbH;2021-12-14;HRB 172648;Hamburg;Hamburg;Mobilität;https://aviasonic.com/;;151;
startup_152;BestCarAuction UG (haftungsbeschränkt);2021-12-14;HRB 725558;Freiburg;Sölden;Mobilität;https://bestcarauction.de/;;152;
startup_153;Prosmartec GmbH;2021-12-14;HRB 39869;Nürnberg;Nürnberg;Lebensmittel;https://prosmartec.de/;;153;
startup_154;SchLuck GmbH;2021-12-14;HRB 95805;Düsseldorf;Düsseldorf;Lebensmittel;;;154;
startup_155;use2go Digital GmbH;2021-12-14;HRB 18852;Krefeld;Willich;Werbung;https://www.use2go.com/;https://www.linkedin.com/company/use2go;155;
startup_156;Vivity Home GmbH;2021-12-14;HRB 236523 B;Charlottenburg (Berlin);Berlin;Immobilien;http://vivity-home.com/;;156;
startup_157;Happy Business GmbH;2021-12-13;HRB 782350;Stuttgart;Leingarten;Medien;https://happypainting.club/;;157;
startup_158;Hydroplace GmbH;2021-12-13;HRB 95786;Düsseldorf;Düsseldorf;Energie;https://www.hydroplace.de/;https://www.linkedin.com/company/hydroplace;158;
startup_159;Inquis Intelligence UG (haftungsbeschränkt);2021-12-13;HRB 95792;Düsseldorf;Düsseldorf;Finanzbereich;https://inquis-intelligence.de/;;159;
startup_160;Luminissimo Design GmbH;2021-12-13;HRB 519000;Jena;Paderborn;Hardware;;;160;
startup_161;MEVAtec GmbH;2021-12-13;HRB 743363;Ulm;Gammertingen;Medizin;;;161;
startup_162;Rent and Play UG (haftungsbeschränkt);2021-12-13;HRB 209651;Braunschweig;Danndorf;Gaming;https://rentandplay.de/;;162;
startup_163;S.K. Ink UG (haftungsbeschränkt);2021-12-13;HRB 23785 KI;Kiel;Boksee;eCommerce;;;163;
startup_164;The Future Living INT GmbH;2021-12-13;HRB 19025 FF;Frankfurt/Oder;Erkner;Umwelttechnologie;https://thefutureliving.com/;https://www.linkedin.com/company/the-future-living/;164;
startup_165;BioMedicalTechnology GmbH;2021-12-11;HRB 271614;München;Pöcking;Medizin;https://www.biomedicaltechnology.org/;;165;
startup_166;CERTAIN GmbH;2021-12-11;HRB 216967;Osnabrück;Nordhorn;Industrie;;;166;
startup_167;eyes.games UG (haftungsbeschränkt);2021-12-11;HRB 30475;Traunstein;Bad Aibling;Gaming;;;167;
startup_168;Allwebuy Digital GmbH;2021-12-10;HRB 20583;Moenchengladbach;Mönchengladbach;eCommerce;http://allwebuy.de/;;168;
startup_169;Daato Technologies UG (haftungsbeschränkt);2021-12-10;HRB 236555 B;Charlottenburg (Berlin);Berlin;Umwelttechnologie;;;169;
startup_170;Frootec UG (haftungsbeschränkt);2021-12-10;HRB 271588;München;München;Lebensmittel;;;170;
startup_171;GreenDentin GmbH;2021-12-10;HRB 39851;Nürnberg;Nürnberg;Medizin;https://greendentin.de/;;171;
startup_172;signature technologies UG (haftungsbeschränkt);2021-12-10;HRB 95774;Düsseldorf;Düsseldorf;Bildung;https://signatureapp.io/;;172;
startup_173;Unping GmbH;2021-12-10;HRB 33559;Dortmund;Dortmund;Software;https://unping.com/;https://www.linkedin.com/company/unping/;173;
startup_174;Wynn Petfood GmbH;2021-12-10;HRB 222781;Hannover;Seelze;eCommerce;;;174;
startup_175;Yangol GmbH;2021-12-10;HRB 236533 B;Charlottenburg (Berlin);Berlin;Personal;https://yangol.io/;https://www.linkedin.com/company/yangol-io/;175;
startup_176;Charlie Production GmbH;2021-12-09;HRB 102798;Darmstadt;Kelsterbach;eCommerce;;;176;
startup_177;DeFining Capital GmbH;2021-12-09;HRB 172574;Hamburg;Hamburg;Finanzbereich;;;177;
startup_178;Dream Squircle GmbH;2021-12-09;HRB 33011;Essen;Essen;Gaming;;;178;
startup_179;Finanz-Werkzeuge GmbH;2021-12-09;HRB 36884;Augsburg;Friedberg;Finanzbereich;https://www.finanz-werkzeuge.de/;;179;
startup_180;Kay Organics GmbH;2021-12-09;HRB 236422 B;Charlottenburg (Berlin);Berlin;eCommerce;https://kay-organics.de/;;180;
startup_181;Kunst21 GmbH;2021-12-09;HRB 42221;Dresden;Dresden;Finanzbereich;https://www.kunst21.com/;https://www.linkedin.com/company/kunst21com/;181;
startup_182;MatchU UG (haftungsbeschränkt);2021-12-09;HRB 15529;Paderborn;Paderborn;Personal;https://match-u.de/;https://www.linkedin.com/company/matchu/;182;
startup_183;NEXTBASIN UG (haftungsbeschränkt);2021-12-09;HRB 782311;Stuttgart;Rudersberg;Hardware;https://www.nextbasin.com/;https://www.linkedin.com/company/nextbasin/;183;
startup_184;schnaq GmbH;2021-12-09;HRB 95753;Düsseldorf;Düsseldorf;Personal;https://schnaq.com/;https://www.linkedin.com/company/schnaq/;184;
startup_185;Snacklust GmbH;2021-12-09;HRB 32348;Wuppertal;Wuppertal;Lebensmittel;https://snacklust.de/;https://www.linkedin.com/company/snacklust/;185;
startup_186;Tandedoc GmbH;2021-12-09;HRB 16759;Gelsenkirchen;Dorsten;Medizin;http://tandedoc.de/;;186;
startup_187;Tierwohl-KI UG (haftungsbeschränkt);2021-12-09;HRB 782296;Stuttgart;Stuttgart;Landwirtschaft;;;187;
startup_188;Triviar Education GmbH;2021-12-09;HRB 172561;Hamburg;Hamburg;Bildung;https://triviar.de/;https://www.linkedin.com/company/triviar-de/;188;
startup_189;wrelax GmbH;2021-12-09;HRB 95752;Düsseldorf;Langenfeld;Medizin;https://www.wrelax.de/;;189;
startup_190;Xpect AG;2021-12-09;HRB 107989;Saarbrücken;Saarbrücken;Software;;;190;
startup_191;Alephnet GmbH;2021-12-08;HRB 95724;Düsseldorf;Düsseldorf;Software;https://www.alephnet.ai/;https://www.linkedin.com/company/alephnet/;191;
startup_192;Cooleben Technology GmbH;2021-12-08;HRB 125642;Frankfurt am Main;Frankfurt am Main;Software;;;192;
startup_193;evalio GmbH;2021-12-08;HRB 236414 B;Charlottenburg (Berlin);Berlin;Software;http://evalio.de/;;193;
startup_194;HOKEY POKEY GmbH;2021-12-08;HRB 236477 B;Charlottenburg (Berlin);Berlin;Lebensmittel;https://hokey-pokey.de/;;194;
startup_195;howRyou GmbH;2021-12-08;HRB 15341 FL;Flensburg;Handewitt;Medizin;http://howryou.de/;https://www.linkedin.com/company/howryou-gmbh/;195;
startup_196;Hyperion Realms GmbH;2021-12-08;HRB 236425 B;Charlottenburg (Berlin);Berlin;Gaming;https://hyperionrealms.com/;https://www.linkedin.com/company/hyperion-realms;196;
startup_197;MONITOR Plus GmbH;2021-12-08;HRB 725506;Freiburg;Konstanz;Industrie;https://monitor-plus.net/;;197;
startup_198;Rhenso GmbH;2021-12-08;HRB 125651;Frankfurt am Main;Frankfurt am Main;Software;http://rhenso.de/;;198;
